"marker","tissue","p.value","p.adjust"
"DNase","lung",0.464724754530553,0.79671625526755
"H3K27ac","liver",0.517509573376066,0.79671625526755
"H3K27me3","liver",0.0389323736156783,0.311458988925426
"H3K36me3","liver",0.597537191450663,0.79671625526755
"H3K4me1","lung",0.827539702940153,0.925999455796576
"H3K4me3","lung",0.408590163597692,0.79671625526755
"H3K79me2","liver",0.925999455796576,0.925999455796576
"H3K9ac","liver",0.427867637852775,0.79671625526755
