Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
LIVER_SPONTANEOUS_7	586	0.913	228.111	38.927%	31.884	42.025%	0.147
LIVER_NICKEL_SULFATE_2	2238	0.979	449.335	20.078%	58.795	20.774%	0.0352
LIVER_ANTIMONY_TRIOXIDE_2	1530	0.973	303.181	19.816%	46.023	23.345%	0.0409
LIVER_NICKEL_OXIDE_2	1208	0.964	320.879	26.563%	42.521	27.991%	0.0692
LIVER_COBALT_4	1535	0.971	357.159	23.268%	47.546	23.998%	0.0492
LIVER_VANADIUM_PENTOXIDE_6	2044	0.969	533.767	26.114%	69.056	25.133%	0.0558
LIVER_NICKEL_SULFATE_5	1743	0.976	374.598	21.492%	49.653	22.137%	0.0392
LIVER_SPONTANEOUS_9	2186	0.969	528.969	24.198%	71.562	25.495%	0.0595
LIVER_VANADIUM_PENTOXIDE_2	1675	0.974	354.539	21.167%	49.576	23.127%	0.0441
LIVER_SPONTANEOUS_4	2235	0.983	415.271	18.58%	54.154	18.172%	0.0335
LIVER_VANADIUM_PENTOXIDE_5	2572	0.929	782.0	30.404%	127.79	37.649%	0.1032
LIVER_SPONTANEOUS_10	1172	0.952	337.126	28.765%	48.51	30.895%	0.0823
LIVER_NICKEL_OXIDE_4	2449	0.957	663.388	27.088%	89.025	29.425%	0.0593
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_1	1406	0.958	405.99	28.876%	52.139	29.579%	0.0751
LIVER_SPONTANEOUS_1	2403	0.985	398.315	16.576%	53.436	17.018%	0.0262
LIVER_NICKEL_OXIDE_3	1350	0.959	374.954	27.774%	51.508	29.002%	0.0653
LIVER_SPONTANEOUS_5	1622	0.952	465.848	28.721%	64.701	30.949%	0.1025
LIVER_COBALT_2	2374	0.873	840.387	35.4%	155.407	50.074%	0.129
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_2	2389	0.979	466.785	19.539%	62.607	20.791%	0.0329
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_3	2497	0.975	530.565	21.248%	73.442	23.463%	0.0467
LIVER_VANADIUM_PENTOXIDE_1	2252	0.971	546.136	24.251%	76.52	25.744%	0.0577
LIVER_NICKEL_SUBSULFIDE_3	2047	0.978	396.519	19.371%	55.123	21.212%	0.0387
LIVER_VINYLIDENE_CHLORIDE_6	1561	0.952	436.751	27.979%	61.443	31.654%	0.0725
LIVER_SPONTANEOUS_2	1541	0.971	343.671	22.302%	46.547	24.022%	0.0532
LIVER_COBALT_5	2791	0.979	568.688	20.376%	75.692	20.991%	0.0354
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_4	2266	0.975	429.444	18.952%	67.552	22.348%	0.0455
LIVER_ISOBUTYL_NITRITE_4	1717	0.975	368.882	21.484%	51.135	22.644%	0.0434
LIVER_VINYLIDENE_CHLORIDE_3	745	0.917	263.739	35.401%	40.098	40.657%	0.0988
LIVER_NICKEL_OXIDE_1	3842	0.97	872.523	22.71%	130.85	24.307%	0.0474
LIVER_ANTIMONY_TRIOXIDE_4	2154	0.974	401.697	18.649%	63.944	22.669%	0.0323
LIVER_VINYLIDENE_CHLORIDE_1	1598	0.957	456.34	28.557%	62.703	29.588%	0.0781
