Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11																																																						
AC>CA	 0.000049712635 	 0.000374079159 	 0.006347323207 	 0.004141857481 	 0.002139821988 	 0.002660570881 	 0.045880132068 	 0.214923551693 	 0.024591818302 	 0.009630417382 	 0.001369906600 																																																						
AC>CG	 0.000026406712 	 0.000031706709 	 0.000046480398 	 0.000049622254 	 0.000461961569 	 0.000146031334 	 0.006247294672 	 0.000972654027 	 0.002069311540 	 0.000017700767 	 0.000193986774 																																																						
AC>CT	 0.004291090624 	 0.000126026669 	 0.003018726942 	 0.000000000000 	 0.002019831970 	 0.000240051508 	 0.013594113205 	 0.317886927620 	 0.028490521204 	 0.013500585115 	 0.000755948459 																																																						
AC>GA	 0.000127032287 	 0.000237050162 	 0.005847533978 	 0.004401974135 	 0.000557953584 	 0.008581841414 	 0.009725788345 	 0.001159587535 	 0.025291585490 	 0.005350231879 	 0.000441969866 																																																						
AC>GG	 0.000057114516 	 0.000000000000 	 0.000449810306 	 0.000000000000 	 0.000000000000 	 0.000104022320 	 0.002538900555 	 0.000809711985 	 0.007127628638 	 0.000590025572 	 0.002249846605 																																																						
AC>GT	 0.002960752505 	 0.000280059263 	 0.010095742424 	 0.000000011205 	 0.000821931624 	 0.000132028329 	 0.004498052163 	 0.000150946308 	 0.012095975669 	 0.028701243912 	 0.005709610719 																																																						
AC>TA	 0.001200305070 	 0.001480313249 	 0.001009574242 	 0.001270569807 	 0.001479876889 	 0.010102167632 	 0.005417653939 	 0.012395590888 	 0.041186297319 	 0.000105004551 	 0.000263982002 																																																						
AC>TG	 0.000172043727 	 0.000006361346 	 0.000000000000 	 0.000053123824 	 0.001119906835 	 0.000449096363 	 0.000997568013 	 0.002569086176 	 0.017894046651 	 0.000007660332 	 0.000238983706 																																																						
AC>TT	 0.026506736952 	 0.002920618032 	 0.000001779250 	 0.000161072235 	 0.007469378622 	 0.003180682482 	 0.001179489234 	 0.000267904706 	 0.044385233033 	 0.000710030773 	 0.002819807746 																																																						
AT>CA	 0.000482122536 	 0.000037808001 	 0.007037032343 	 0.000916410979 	 0.000107991016 	 0.000114024466 	 0.011095195337 	 0.000027790115 	 0.012695776115 	 0.003530152997 	 0.009479353698 																																																						
AT>CC	 0.000297075505 	 0.000000000000 	 0.009076172397 	 0.000000000000 	 0.000021298228 	 0.000063913714 	 0.006257290343 	 0.000142949153 	 0.001779407991 	 0.001160050277 	 0.001899870467 																																																						
AT>CG	 0.000003981012 	 0.000000000000 	 0.014593845483 	 0.000000000000 	 0.000000000000 	 0.000001820391 	 0.001109519534 	 0.000265905417 	 0.000000000000 	 0.002590112255 	 0.000017398814 																																																						
AT>GA	 0.002120538956 	 0.000168035558 	 0.001809237009 	 0.000324145368 	 0.001109907667 	 0.001620347680 	 0.014393766923 	 0.000161942397 	 0.006367881406 	 0.000080603493 	 0.011199236436 																																																						
AT>GC	 0.000174044235 	 0.000005851238 	 0.005247786903 	 0.000017607897 	 0.000000000000 	 0.000017203691 	 0.009285978800 	 0.000225919640 	 0.001809398013 	 0.004080176835 	 0.004179715027 																																																						
AT>TA	 0.002340594886 	 0.000458096938 	 0.002349009376 	 0.004532032462 	 0.000792934036 	 0.002200472158 	 0.033985283013 	 0.000314887994 	 0.009196940178 	 0.002930126992 	 0.003839738207 																																																						
CC>AA	 0.000010602695 	 0.724153238067 	 0.009086168181 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.038086452649 	 0.000000000000 	 0.013700593784 	 0.000000000000 																																																						
CC>AG	 0.000012303127 	 0.072615366138 	 0.000000000000 	 0.005432436262 	 0.024297978651 	 0.061613220410 	 0.000082964073 	 0.015494488610 	 0.026391219641 	 0.000071303090 	 0.000971933734 																																																						
